subject;RS_D;RS_C;RS_B;RS_A
sub0002;"0.835923	";"0.70586	";"0.209918	";"0.679729	"
sub0003;"0.922224	";"0.819206	";"0.538207	";"0.0643716	"
sub0004;"0.796121	";"0.605602	";"0.590173	";"0.295615	"
sub0005;"0.7054	";"0.513357	";"0.365828	";"0.419737	"
sub0006;"0.761154	";"0.626007	";"0.447776	";"0.32346	"
sub0009;"0.836629	";"0.653944	";"0.418801	";"0.714652	"
sub0010;"0.617526	";"0.414923	";"0.332186	";"0.206291	"
sub0011;"0.611531	";"0.334813	";"0.231989	";"0.274157	"
sub0012;"0.656347	";"0.436985	";"0.223929	";"0.10171	"
sub0017;"0.559763	";"0.210907	";"0.156367	";"0.183856	"
sub0018;"0.664122	";"0.250569	";"0.298507	";"0.0840375	"
sub0031;"0.581406	";"0.19519	";"0.119793	";"0.219969	"
sub0032;"0.771066	";"0.706916	";"0.631953	";"0.0999484	"
sub0036;"0.68264	";"0.641018	";"0.186326	";"0.277569	"
sub0042;"0.518178	";"0.487542	";"0.48607	";"0.465327	"
sub0047;"0.656533	";"0.492768	";"0.326992	";"0.548718	"
sub0052;"0.76467	";"0.710831	";"0.600683	";"0.380379	"
sub0060;"0.215915	";"0.579807	";"0.595387	";"0.226676	"
sub0065;"0.215962	";"0.0154739	";"0	";"0.103704	"
sub0076;"0.836056	";"0.654366	";"0.696249	";"0.565198	"
sub0077;"0.695467	";"0.469318	";"0.400193	";"0.224584	"
sub0084;"0.862214	";"0.788372	";"0.641239	";"0.650554	"
sub0085;"0.921832	";"0.650758	";"0.4	";"0.74495	"
sub0098;"0.557616	";"0.334151	";"0.395962	";"0.112157	"
sub0157;"0.900407	";"0.799893	";"0.346934	";"0.196078	"
sub0174;"0.838983	";"0.175793	";"0.04039	";"0.038808	"
sub0179;0.893657;0.563254;0.42310;0.156364
sub0187;"0.870948	";"0.798259	";"0.5334	";"0.134776	"
sub0205;"0.669042	";"0.631637	";"0.643822	";"0.5214	"
sub0053;"0.633466	";"0.55466	";"0.401038	";"0.395713	"
sub0055;"0.27027	";"0.432432	";"0.1	";"0	"
sub0063;"0.297106	";"0.20083	";"0.193654	";"0.110198	"
sub0070;"0.702897	";"0.557435	";"0.369263	";"0.218079	"
sub0074;"0.253894	";"0.419893	";"0.38954	";"0.463891	"
sub0092;"0.775574	";"0.385093	";"0.30669	";"0.530006	"
sub0096;"0.67667	";"0.549521	";"0.357893	";"0.139558	"
sub0102;"0.730159	";"0.409288	";"0.418824	";"0.192162	"
sub0123;"0.936069	";"0.896579	";"0.860057	";"0.760678	"
sub0191;"0.0444444	";"0.0121951	";"0.0361702	";"0.00945626	"
sub0203;"0.0198676	";"0.00386473	";"0.0607985	";"0.0317776	"
sub0208;"0.784445	";"0.689667	";"0.638515	";"0.42936	"
sub0022;"0.593096	";"0.495038	";"0.38158	";"0.303924	"
sub0027;"0.365427	";"0.200632	";"0.180622	";"0.127258	"
sub0053;"0.702567	";"0.569619	";"0.489722	";"0.433788	"
sub0055;"0.716049	";"0.547094	";"0.270042	";"0.2324	"
sub0063;"0.844709	";"0.437472	";"0.258249	";"0.433529	"
sub0070;"0.578225	";"0.353271	";"0.139879	";"0.215432	"
sub0074;"0.401501	";"0.471437	";"0.111855	";"0.0238569	"
sub0092;"0.723167	";"0.497499	";"0.294562	";"0.335949	"
sub0096;"0.885268	";"0.772681	";"0.372008	";"0.353931	"
sub0102;"0.58597	";"0.415781	";"0.346229	";"0.228571	"
sub0123;"0.854145	";"0.85389	";"0.751816	";"0.321174	"
sub0191;"0.387917	";"0.264407	";"0.245783	";"0.058309	"
sub0203;"0.425642	";"0.10788	";"0.0020141	";"0.30389	"
sub0208;"0.64464	";"0.582802	";"0.421364	";"0.163033	"
